"Week","Delivery Associate ","Transporter ID","Overall Standing","Overall Score","FICO Metric","FICO Tier","FICO Score","Speeding Event Rate (per trip)","Speeding Event Rate Tier","Speeding Event Rate Score","Seatbelt-Off Rate (per trip)","Seatbelt-Off Rate Tier","Seatbelt-Off Rate Score","Distractions Rate (per trip)","Distractions Rate Tier","Distractions Rate Score","Sign/ Signal Violations Rate (per trip)","Sign/ Signal Violations Rate Tier","Sign/ Signal Violations Rate Score","Following Distance Rate (per trip)","Following Distance Rate Tier","Following Distance Rate Score","CDF DPMO","CDF DPMO Tier","CDF DPMO Score","CED","CED Tier","CED Score","DCR","DCR Tier","DCR Score","DSB","DSB DPMO Tier","DSB DPMO Score","POD","POD Tier","POD Score","PSB","PSB Tier","PSB Score","Packages Delivered"
"2025-W48","Driver A","DRIVERA12345","Platinum","89.09","","","","0.0","Platinum","100","0.0","Platinum","100","0.4","Gold","50","0.0","Platinum","100","0.0","Platinum","100","745","Platinum","77.87","0","Platinum","100","99.1%","Platinum","86.33","0","Platinum","100","99.2%","Platinum","76.66","","","","1266"
"2025-W48","Driver B","DRIVERB12345","Platinum","85.41","","","","0.0","Platinum","100","0.0","Platinum","100","0.3","Platinum","81.85","0.0","Platinum","100","0.0","Platinum","100","3048","Bronze","0","0","Platinum","100","99.0%","Platinum","83.31","0","Platinum","100","99.3%","Platinum","88.96","","","","1009"
"2025-W48","Driver C","DRIVERC12345","Platinum","83.57","","","","0.0","Platinum","100","0.0","Platinum","100","0.4","Gold","50","0.0","Platinum","100","0.0","Platinum","100","1208","Gold","59.11","0","Platinum","100","97.3%","Silver","31.93","0","Platinum","100","99.4%","Platinum","94.64","","","","359"
"2025-W48","Driver D","DRIVERD12345","Gold","78.73","","","","0.0","Platinum","100","0.0","Platinum","100","0.4","Gold","50","0.0","Platinum","100","0.0","Platinum","100","0","Platinum","100","1284","Bronze","0","96.8%","Silver","42.37","0","Platinum","100","98.2%","Platinum","94.96","","","","1437"
"2025-W48","Driver E","DRIVERE12345","Platinum","86.62","","","","0.0","Platinum","100","0.0","Platinum","100","0.0","Platinum","100","0.3","Platinum","81.85","0.0","Platinum","100","5135","Bronze","0","0","Platinum","100","99.9%","Platinum","100","0","Platinum","100","99.6%","Platinum","84.36","","","","356"
"2025-W48","Driver F","DRIVERF12345","Platinum","89.05","","","","0.5","Gold","50","0.2","Platinum","82.85","0.0","Platinum","100","0.0","Platinum","100","0.0","Platinum","100","745","Platinum","83.09","0","Platinum","100","99.0%","Platinum","82.57","0","Platinum","100","99.2%","Platinum","92.04","","","","296"
"2025-W48","Driver G","DRIVERG12345","Gold","78.47","","","","0.0","Platinum","100","0.5","Gold","50","0.0","Platinum","100","0.0","Platinum","100","0.0","Platinum","100","4515","Bronze","0","0","Platinum","100","98.9%","Gold","58.04","0","Platinum","100","99.6%","Platinum","76.71","","","","264"
"2025-W48","Driver H","DRIVERH12345","Gold","72.2","","","","0.2","Platinum","82.85","0.3","Platinum","81.85","0.0","Platinum","100","0.0","Platinum","100","0.0","Platinum","100","8368","Bronze","0","742","Silver","32.14","97.2%","Silver","32.79","0","Platinum","100","98.7%","Platinum","92.39","","","","1089"
"2025-W48","Driver I","DRIVERI12345","Platinum","85.38","","","","0.0","Platinum","100","0.3","Platinum","81.85","0.3","Platinum","81.85","0.0","Platinum","100","0.0","Platinum","100","745","Platinum","85.61","0","Platinum","100","98.3%","Gold","56.36","0","Platinum","100","97.7%","Gold","48.16","","","","246"
"2025-W48","Driver J","DRIVERJ12345","Platinum","89.99","","","","0.3","Platinum","81.85","0.0","Platinum","100","0.0","Platinum","100","0.0","Platinum","100","0.0","Platinum","100","2116","Silver","39.56","0","Platinum","100","99.9%","Platinum","100","0","Platinum","100","99.7%","Platinum","78.52","","","","173"
"2025-W48","Driver K","DRIVERK12345","Platinum","80.2","","","","0.0","Platinum","100","0.2","Platinum","82.85","0.0","Platinum","100","0.0","Platinum","100","0.0","Platinum","100","605","Platinum","86.72","2198","Bronze","0","96.5%","Silver","45.24","0","Platinum","100","99.3%","Platinum","87.17","","","","689"
"2025-W48","Driver L","DRIVERL12345","Gold","77.72","","","","0.0","Platinum","100","0.0","Platinum","100","0.5","Gold","50","0.3","Platinum","81.85","0.0","Platinum","100","3654","Bronze","0","0","Platinum","100","97.0%","Silver","49.07","0","Platinum","100","99.4%","Platinum","96.29","","","","1254"
"2025-W48","Driver M","DRIVERM12345","Gold","78.85","","","","0.0","Platinum","100","0.2","Platinum","82.85","0.0","Platinum","100","0.0","Platinum","100","0.0","Platinum","100","8368","Bronze","0","742","Silver","33.59","99.6%","Platinum","83.61","0","Platinum","100","99.6%","Platinum","88.48","","","","779"
